0.03 0.0
0.035 0.0
0.04 0.0
0.045 0.0
0.05 0.0
0.055 0.0
0.06 0.0
0.065 0.0
0.07 0.0
0.075 0.0
0.08 0.0
0.085 0.0
0.09 0.0
0.095 0.0
0.1 0.0
0.105 0.0
0.11 0.0
0.115 0.0
0.12 2629.76275992
0.125 9561.30112523
0.13 27717.2427293
0.135 65860.3313726
0.14 146678.40109
0.145 307920.692828
0.15 610983.588441
0.155 1147766.40139
0.16 2043923.48318
0.165 3454522.35627
0.17 5548613.04634
0.175 8481803.31964
0.18 12360449.1442
0.185 17206052.5668
0.19 22931471.909
0.195 29341372.3754
0.2 36149212.6778
0.205 43035839.738
0.21 49698107.2605
0.215 55900274.3281
0.22 61503709.1419
0.225 66471270.5688
0.23 70849629.2949
0.235 74738894.228
0.24 78260433.6772
0.245 81531215.3972
0.25 84648449.0666
0.255 87684106.1224
0.26 90686409.2262
0.265 93687767.9569
0.27 96698945.0034
0.275 99730941.7201
0.28 102787408.886
0.285 105868605.816
0.29 108976115.5
0.295 112109161.078
0.3 115268329.612
0.305 118450285.606
0.31 121655484.026
0.315 124883161.042
0.32 128132556.265
0.325 131402915.022
0.33 134693491.167
0.335 138007447.288
0.34 141336557.455
0.345 144683742.882
0.35 148048316.9
0.355 151424445.244
0.36 154810010.405
0.365 158197388.663
0.37 161572823.435
0.375 164914222.023
0.38 168176996.107
0.385 171297452.096
0.39 174175165.66
0.395 176664371.778
0.4 178565414.709
0.405 179621590.635
0.41 179525445.525
0.415 177938134.48
0.42 174523523.728
0.425 168995307.03
0.43 161171116.583
0.435 151023654.223
0.44 138716781.34
0.445 124615554.223
0.45 109263760.694
0.455 93332684.0551
0.46 77532271.2395
0.465 62542442.9165
0.47 48924758.3364
0.475 37070817.9648
0.48 27179182.0891
0.485 19264052.2363
0.49 13189223.7378
0.495 8716501.15364
0.5 5556915.16029
0.505 3415230.77427
0.51 2022110.59787
0.515 1152408.12762
0.52 631268.838337
0.525 331476.203462
0.53 165849.46432
0.535 81800.4624808
0.54 37128.3879338
0.545 15214.1280195
0.55 4819.1962615
0.555 0.0
0.56 0.0
0.565 0.0
0.57 0.0
0.575 0.0
0.58 0.0
0.585 0.0
0.59 0.0
0.595 0.0
0.6 0.0
0.605 0.0
0.61 0.0
0.615 0.0
0.62 0.0
